TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
2,1801,8,0,0,629,70,192,130,128,83,0,0,0,0,5,11,9,53,24,1,103,603,3,1,0,0,100,0,0,0,0,0,10,42,0,0,0,4,18,0.797297297
3,684,0,0,0,272,30,116,59,37,18,0,0,0,0,1,7,0,207,1,0,216,260,3,1,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18,0.797297297
4,1207,0,0,0,409,30,138,82,87,52,0,0,0,0,3,4,7,20,15,37,86,389,3,1,0,0,100,0,0,0,0,0,0,30,0,0,0,0,18,0.797297297
5,883,7,0,0,278,19,76,62,65,46,0,3,0,0,0,6,5,60,0,26,100,268,3,1,0,0,100,0,0,0,0,0,3,0,0,0,0,3,18,0.797297297
6,1773,3,0,0,601,41,192,138,131,73,0,7,0,0,3,13,10,87,3,0,123,575,3,1,0,0,100,0,0,0,375,1,0,5,0,0,0,4,18,0.797297297
7,2353,0,0,0,755,84,242,135,127,141,0,8,0,0,1,3,20,50,0,34,116,729,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
8,458,6,0,0,177,31,56,37,29,14,0,2,0,0,1,4,2,9,1,24,43,167,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,3,18,0.797297297
9,939,31,0,0,310,30,100,65,45,52,0,2,0,4,1,30,1,74,20,0,132,292,3,1,0,0,100,0,0,0,3021,0,0,32,0,0,0,4,18,0.797297297
10,932,0,0,0,327,38,115,57,62,41,0,2,0,6,0,0,3,19,3,0,33,313,3,1,0,0,100,0,0,0,0,1,0,4,0,0,0,0,18,0.797297297
11,2316,0,0,0,1148,215,389,176,136,48,0,0,0,0,34,7,185,540,0,157,923,964,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
12,190,0,0,0,73,8,29,20,5,7,0,13,0,20,1,0,1,23,230,2,290,69,3,1,0,0,100,0,0,0,0,0,0,410,0,0,0,0,18,0.797297297
13,1109,0,0,0,358,43,110,68,62,60,0,5,0,0,17,6,8,51,0,0,87,343,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
14,935,0,0,0,383,48,148,56,47,37,0,1,0,0,15,4,28,34,1,1,84,336,3,1,0,0,100,0,0,0,0,0,3,1,0,0,0,0,18,0.797297297
15,718,0,0,0,242,27,76,34,49,47,0,0,0,0,7,10,3,35,0,0,55,233,3,1,0,0,100,0,0,0,314,1,0,0,0,0,0,0,18,0.797297297
16,1222,0,0,0,414,48,130,88,87,49,0,0,0,0,0,0,2,52,0,9,63,402,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
17,341,0,0,0,107,7,32,28,26,14,0,0,0,0,2,2,2,5,0,0,11,107,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
18,847,0,0,0,297,24,107,63,49,40,0,0,0,0,2,3,5,22,0,1,33,283,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
19,429,0,0,0,170,16,67,40,22,13,0,0,0,0,0,14,14,22,0,0,50,158,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
20,5016,0,0,0,2432,460,769,395,270,147,0,12,0,0,22,26,7,385,0,99,551,2041,3,1,0,0,100,0,0,0,0,0,3,0,0,0,0,0,18,0.797297297
21,1151,0,0,0,526,94,212,75,66,25,0,46,0,0,5,31,39,343,126,0,590,472,3,1,0,0,100,0,0,0,0,0,0,220,0,0,0,0,18,0.797297297
22,0,0,0,0,0,0,0,0,0,0,0,198,0,0,21,25,157,603,238,0,1242,0,3,1,0,0,100,0,0,0,0,0,0,432,0,0,0,0,18,0.797297297
23,1415,0,0,0,544,70,216,100,69,52,0,0,0,0,1,2,5,75,0,0,83,507,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
24,1018,0,0,0,358,36,101,65,60,67,0,34,0,8,13,4,15,226,17,1,318,329,3,1,0,0,100,0,0,0,483,2,0,30,0,0,0,0,18,0.797297297
25,1768,1,0,0,932,276,266,111,81,53,0,0,0,0,1,12,7,260,0,86,366,787,3,1,0,0,100,0,0,0,0,0,1,0,0,0,0,3,18,0.797297297
26,759,0,0,0,340,62,109,61,37,24,0,0,0,0,2,2,3,11,0,0,18,293,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
27,961,45,0,0,328,49,75,56,51,63,0,1,0,0,1,3,10,145,0,0,160,294,3,1,0,0,100,0,0,0,0,0,38,0,0,0,0,4,18,0.797297297
28,464,5,0,0,196,40,60,34,26,16,0,5,0,0,0,0,36,57,0,0,98,176,3,1,0,0,100,0,0,167,0,1,4,0,0,0,0,3,18,0.797297297
29,2267,4,0,0,810,119,234,153,139,114,0,3,0,0,5,10,13,117,0,3,151,759,3,1,0,0,100,0,0,0,0,0,7,0,0,0,0,3,18,0.797297297
30,706,0,0,0,234,25,74,45,48,33,0,0,0,0,2,0,6,12,0,0,20,225,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297
31,1227,13,0,0,420,60,114,83,69,70,0,10,0,0,1,10,19,229,53,0,322,396,3,1,0,0,100,0,0,212,0,1,13,94,0,0,0,3,18,0.797297297
32,1923,0,0,0,699,70,255,148,113,78,0,1,0,0,1,9,19,160,0,16,206,664,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
33,155,15,0,0,59,10,15,10,8,7,0,7,0,0,0,2,2,8,0,0,19,50,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,3,18,0.797297297
34,538,0,0,0,191,29,56,32,34,31,0,0,0,0,2,63,1,56,0,0,122,182,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
35,1145,0,0,0,415,73,128,58,76,59,0,1,0,0,2,4,8,54,0,0,69,394,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297
36,1263,0,0,0,454,77,132,94,73,62,0,0,0,0,1,3,6,63,0,2,75,438,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
37,807,14,0,0,299,58,84,49,44,46,0,72,0,1,4,3,29,295,77,0,481,281,3,1,0,0,100,0,0,170,659,3,14,135,0,0,0,3,18,0.797297297
38,461,0,0,0,174,28,53,37,28,18,0,18,0,0,0,1,16,13,0,0,48,164,3,1,0,0,100,129,0,0,0,1,0,0,1,0,0,0,18,0.797297297
39,568,4,370,1,268,47,106,31,19,21,0,0,155,0,28,4,7,672,17,5,888,224,3,1,0,2.22,100,0,0,0,0,0,0,29,1,0,0,3,18,0.797297297
40,439,0,0,0,152,18,55,19,26,24,0,0,0,0,0,0,2,17,0,0,19,142,3,1,0,2.22,100,0,0,0,0,0,0,0,1,0,0,0,18,0.797297297
41,213,0,0,0,86,14,29,15,8,12,0,0,0,0,0,0,5,14,0,0,19,78,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297297
42,3032,0,0,0,1074,110,377,214,216,119,0,0,0,0,23,23,19,158,0,45,268,1036,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297
43,827,0,0,0,321,43,126,70,42,29,0,0,0,0,1,3,17,60,0,0,81,310,3,1,0,0,100,0,0,0,0,0,5,0,0,0,0,0,18,0.797297297
44,472,79,0,0,163,21,88,16,14,18,0,8,0,0,2,33,2,105,1,9,160,157,3,1,0,0,100,0,0,587,0,1,1,0,0,0,0,3,18,0.797297297
45,2420,0,0,0,910,119,339,196,130,91,0,0,0,0,0,21,22,67,11,0,121,875,3,1,0,0,100,0,0,0,0,0,0,19,0,0,0,0,18,0.797297297
46,1016,0,0,0,439,95,146,74,53,37,0,0,0,0,0,2,18,17,0,16,53,405,3,1,0,0,100,0,0,0,534,2,0,0,0,0,0,0,5,0.874251497
47,1713,0,0,0,904,366,297,95,78,30,0,89,0,0,1,1,44,695,58,25,913,866,3,1,0,0,100,0,0,0,0,0,0,97,0,0,0,0,5,0.874251497
48,1090,0,0,0,437,103,123,82,57,45,0,0,0,0,0,2,58,75,0,14,149,410,3,1,0,0.61,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
49,1852,0,0,0,676,137,196,143,102,75,0,0,0,0,23,41,146,254,87,21,572,653,3,1,0,0.830073,100,0,0,154,0,1,0,154,0,0,0,0,5,0.874251497
50,537,5,0,0,211,41,66,37,27,27,0,67,0,0,0,3,3,109,11,24,217,198,3,1,0,0.957361,100,0,0,276,127,2,3,18,0,0,0,3,5,0.874251497
51,226,0,0,0,100,25,26,13,15,8,0,31,0,9,40,129,151,1071,278,19,1728,87,3,1,3,1.046993,100,0,0,255,0,1,0,473,0,0,0,0,5,0.874251497
52,609,7,0,0,286,84,75,45,27,23,0,24,0,4,13,7,108,372,200,23,751,254,3,1,3.931047,1.085503,100,0,0,556,0,1,1,357,0,0,0,3,5,0.874251497
53,945,17,0,0,382,92,98,51,60,42,0,27,0,3,11,19,97,1579,188,24,1948,343,3,1,8.214355,1.078878,100,0,0,1033,0,1,10,329,0,0,0,3,5,0.874251497
54,484,38,0,0,199,48,66,32,20,18,0,18,0,0,1,1,34,247,69,25,395,184,3,1,8.147052,1.087298,100,939,0,0,0,2,222,119,0,0,0,1,5,0.874251497
55,672,0,0,0,301,97,91,42,28,27,0,12,0,0,23,17,56,161,81,24,374,285,3,1,4.203941,1.093249,100,0,0,0,245,1,11,145,0,0,0,0,5,0.874251497
56,1819,0,0,0,680,128,200,129,79,97,0,11,0,0,0,4,9,62,7,24,117,633,3,1,3,1.003876,100,0,0,0,0,0,0,11,0,0,0,0,5,0.874251497
57,986,5,0,0,347,66,93,66,44,59,0,0,0,0,0,3,9,30,3,9,54,328,3,1,0,0,100,0,0,0,0,0,1,5,0,0,0,3,5,0.874251497
58,2007,16,0,0,725,151,185,144,88,122,0,1,0,0,3,12,10,65,20,16,127,690,3,1,0,0,100,0,0,0,0,0,6,35,0,0,0,1,5,0.874251497
59,3964,105,0,0,1530,307,503,257,200,170,0,0,0,8,3,14,81,366,17,32,521,1437,3,1,0,0,100,0,0,0,0,0,91,29,0,0,0,3,5,0.874251497
60,2523,96,0,0,882,170,250,187,104,131,0,0,0,0,4,3,20,94,12,35,168,842,3,1,0,0,100,0,0,0,0,0,39,21,0,0,0,3,5,0.874251497
61,550,0,0,0,208,37,50,58,36,19,0,0,0,0,0,2,5,14,0,13,34,200,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
62,1676,0,0,0,578,91,128,94,83,135,0,26,0,8,0,4,1,23,2,20,84,531,3,1,0,0,100,0,0,0,376,3,2,3,0,0,0,3,5,0.874251497
63,1818,4,0,0,596,96,164,102,72,124,0,78,0,3,0,5,6,34,19,26,171,558,3,1,0,0,100,0,0,0,228,1,2,33,0,0,0,3,5,0.874251497
64,3644,0,0,0,1494,320,484,282,178,139,0,7,0,0,6,5,36,187,16,21,278,1403,3,1,2.392857,0,100,0,0,0,0,0,0,25,0,0,0,0,5,0.874251497
65,3883,2639,0,0,598,180,189,85,42,52,0,48,0,0,4,11,16,86,39,27,231,548,3,1,2.497523,1.354089,100,0,0,0,358,1,593,74,0,0,0,1,25,0.308139535
66,1159,810,0,0,141,33,32,18,22,20,0,442,0,0,2,1,10,1222,105,35,1817,125,3,1,2.679537,1.12,100,0,23246,1683,0,3,1235,187,0,0,0,1,25,0.308139535
67,2433,83,0,0,910,203,253,166,148,98,0,107,0,0,45,35,142,564,292,35,1220,868,3,1,2.392857,0,100,0,0,0,459,1,12,528,0,0,0,1,24,0.79787234
68,3696,0,0,0,1390,250,443,283,193,169,0,0,0,0,2,9,29,198,2,19,259,1338,3,1,0,0,100,0,0,0,0,0,0,3,0,0,0,0,24,0.79787234
69,3284,25,0,0,1221,209,400,220,184,158,0,26,0,21,5,11,34,85,38,18,238,1171,3,1,0,0,100,0,0,0,587,1,0,67,0,0,0,1,24,0.79787234
70,1077,0,0,0,400,75,116,75,64,50,0,65,0,0,2,1,37,522,46,23,696,380,3,1,2.392857,0,100,0,0,0,0,0,1,80,1,0,0,1,24,0.79787234
71,1018,22,2,0,380,71,118,72,67,39,0,27,1,0,0,3,27,465,1,21,545,367,3,1,0,0,100,0,0,0,0,0,3,1,1,0,0,3,24,0.79787234
72,1171,0,0,0,458,83,151,90,66,48,0,0,0,0,2,5,26,84,0,10,127,438,3,1,0,0,100,0,0,0,0,0,12,0,1,0,0,0,24,0.79787234
73,1073,36,0,0,412,99,116,71,51,57,0,16,0,0,2,7,24,186,0,17,252,394,3,1,2.679537,1.12,100,0,0,0,0,0,21,0,1,0,0,1,24,0.79787234
74,1045,157,0,0,396,109,114,64,45,32,0,6,0,0,6,9,7,114,31,17,190,364,3,1,8,1.369344,100,0,0,0,0,0,86,64,1,0,0,1,24,0.79787234
75,608,22,0,0,243,55,83,30,33,26,0,22,0,0,9,1,1,1638,29,30,1730,227,3,1,4.769919,1.691505,100,0,0,4342,0,1,74,51,1,0,0,1,24,0.79787234
76,2643,0,0,0,1416,474,422,178,103,70,0,7,0,0,1,10,6,300,1,24,349,1247,3,1,4.429998,1.66722,100,0,0,885,0,1,1,1,1,0,0,0,24,0.79787234
77,213,0,0,0,86,17,21,15,11,13,0,0,0,0,0,0,0,13,0,8,21,77,3,1,5.631464,1.433016,100,0,0,0,0,0,0,0,1,0,0,0,3,0.646840149
78,306,0,0,0,110,27,25,13,23,16,0,34,0,0,48,0,0,20,1,25,128,104,3,1,5.817235,1.323243,100,0,0,0,430,0,0,1,1,0,0,0,25,0.308139535
79,136,11,0,0,46,11,12,6,6,9,0,8,0,0,1,0,3,68,16,20,116,44,3,1,4.257465,1.190001,100,0,0,420,0,2,0,29,1,0,0,1,25,0.308139535
80,889,7,0,0,351,73,99,65,45,46,0,0,0,0,1,2,23,213,19,15,273,328,3,1,7.785802,1.049639,100,0,0,0,0,0,0,33,0,0,0,3,5,0.874251497
81,741,5,0,0,274,52,81,52,37,41,0,0,0,0,0,2,4,37,0,11,54,263,3,1,4.425717,1.087165,100,0,0,0,0,0,0,0,0,0,0,3,5,0.874251497
82,552,8,0,0,211,50,56,31,29,29,0,0,0,0,0,3,3,26,0,11,43,195,3,1,3,1.069786,100,0,0,0,0,0,10,0,0,0,0,3,5,0.874251497
83,1346,3,0,0,513,94,160,96,62,59,0,2,0,0,10,69,61,132,113,17,404,471,3,1,11.25,1,100,0,0,0,0,0,1,205,0,0,0,1,5,0.874251497
84,2113,0,0,0,811,191,211,155,99,114,0,0,0,0,8,12,18,207,31,16,292,770,3,1,0,0.5,100,0,0,0,0,0,6,54,0,0,0,3,5,0.874251497
85,477,0,0,0,186,40,50,41,23,23,0,0,0,0,1,1,2,5,0,8,17,177,3,1,0,0.5,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
86,1157,0,0,0,425,78,121,83,60,61,0,0,0,0,3,1,6,108,0,17,135,403,3,1,3,1.083828,100,0,0,0,365,1,8,0,0,0,0,0,5,0.874251497
87,392,0,0,0,144,23,38,31,19,22,0,0,0,0,0,1,3,14,0,9,27,133,3,1,0,1.237688,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
88,419,0,0,0,166,26,54,31,24,18,0,37,0,0,0,8,2,20,4,20,91,153,3,1,0,1.689482,100,0,0,0,0,0,0,6,0,0,0,0,5,0.874251497
89,432,174,0,0,104,19,37,11,11,17,0,474,0,0,0,1,13,146,22,26,682,95,3,1,0,1.877634,100,0,0,0,0,0,118,38,0,0,0,4,5,0.874251497
90,1179,0,0,0,449,95,139,70,59,63,0,47,0,0,2,4,17,116,0,17,203,426,3,1,0,1.134669,100,0,0,0,0,0,10,0,0,0,0,0,5,0.874251497
91,153,0,0,0,62,19,14,9,9,8,0,73,0,0,0,0,12,14,0,18,117,59,3,1,0,0.947292,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
92,444,0,0,0,153,26,47,25,25,24,0,0,0,0,1,0,1,80,0,8,90,147,3,1,0,0.912111,100,0,0,0,392,0,0,0,0,0,0,0,5,0.874251497
93,923,0,0,0,344,70,100,69,41,51,0,12,0,0,1,13,2,32,0,13,73,331,3,1,0,1.354383,100,0,0,0,524,0,0,0,0,0,0,0,5,0.874251497
94,735,0,0,0,269,37,85,53,39,36,0,46,0,0,3,4,9,56,0,24,142,250,3,1,0,0,100,0,0,0,912,2,0,0,0,0,0,0,5,0.874251497
95,1645,47,0,0,559,92,150,110,88,92,0,10,0,1,2,2,13,35,1,14,78,532,3,1,0,1.539275,100,0,0,0,0,1,32,1,0,0,0,3,5,0.874251497
96,604,0,0,0,231,55,64,35,31,31,0,27,0,2,1,9,22,49,43,21,174,216,3,1,0,0,100,0,0,0,0,1,0,70,0,0,0,0,5,0.874251497
97,254,0,0,0,125,41,33,14,16,6,0,8,0,2,54,13,492,1167,974,15,2725,110,3,1,0,0,100,0,0,0,0,0,0,1729,0,0,0,0,5,0.874251497
98,343,0,0,0,125,11,51,18,22,15,0,0,0,0,0,1,1,23,0,8,33,117,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
99,637,15,0,0,245,38,77,36,37,31,0,0,0,1,1,8,6,138,5,18,177,219,3,1,0,0,100,0,0,0,443,1,0,8,0,0,0,3,5,0.874251497
100,1000,0,0,0,396,54,117,77,71,36,0,0,0,0,11,4,26,47,0,11,99,355,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497
101,903,0,0,0,381,47,120,68,53,40,0,0,0,0,8,2,32,62,5,20,129,328,3,1,0,0,100,0,0,0,0,0,0,8,0,0,0,0,5,0.874251497
102,1289,0,0,0,562,106,196,81,67,50,0,522,0,0,5,4,82,488,18,31,1150,500,3,1,0,0,100,0,0,66,0,3,4,32,1,0,0,0,5,0.874251497
103,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,1,0,0,17,28,165,0,3,1,0,1.993389,100,0,8534,0,0,0,0,29,1,0,0,0,5,0.874251497
104,0,0,0,0,1,0,0,0,0,0,761,56,0,0,0,0,19,52,18,211,1117,0,3,1,0,1.5,100,0,0,0,0,0,0,1,1,0,1,0,5,0.874251497
105,1180,0,43,31,923,291,269,56,26,15,0,112,31,0,2,1,33,168,1,21,369,657,3,1,0,0,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
106,70,54,101,0,23,6,3,0,1,0,0,26,43,3,3,0,12,234,86,12,419,10,3,1,0,1.201925,100,0,0,0,0,0,0,0,1,0,0,3,4,0.441860465
107,1454,65,0,0,792,295,284,70,43,28,0,85,0,4,1,6,8,252,113,23,492,720,3,1,0,1,100,0,0,270,443,3,0,199,1,0,0,3,5,0.874251497
108,1738,8,0,0,623,106,177,118,94,97,0,0,0,0,13,6,19,64,41,16,159,592,3,1,0,0.5,100,0,0,0,0,0,2,72,0,0,0,3,5,0.874251497
109,1930,20,0,0,801,180,234,136,92,88,0,0,0,0,25,4,71,397,127,23,647,730,3,1,0,0.839267,100,0,0,14,70,2,6,224,0,0,0,3,5,0.874251497
110,13,0,0,0,8,2,4,1,0,0,0,21,0,1,0,0,0,72,11,16,121,7,3,1,0,1.190516,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
111,403,0,0,0,226,76,78,29,13,5,0,0,0,0,0,0,0,3,18,19,40,201,3,1,0,1.487982,100,0,0,0,392,1,0,0,1,0,0,0,4,0.441860465
112,573,0,764,72,340,107,135,31,9,13,0,18,348,0,1,0,0,146,0,0,513,295,3,1,0,1.679918,100,0,0,0,0,0,2,0,1,0,0,0,4,0.441860465
113,225,0,2174,0,171,89,26,13,5,4,0,53,905,1,1,2,1,825,59,0,1847,137,2,3,2.875454,1.647247,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
114,1496,31,0,879,1049,420,284,76,31,21,0,30,366,0,3,11,52,377,1,4,844,832,3,1,2.5,1.739366,100,0,0,0,0,0,0,0,0,0,0,3,4,0.441860465
115,2436,0,620,8,1585,715,462,120,59,35,0,7,262,0,4,4,19,215,0,0,511,1391,2,3,3.034096,1.84656,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
116,1051,0,82,108,710,253,223,49,29,17,0,12,80,0,4,11,2,41,98,13,261,571,2,3,3.03389,1.913291,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
117,864,35,1309,149,658,282,143,40,21,10,0,34,607,0,4,3,141,740,153,0,1682,496,2,3,3.022651,1.889823,100,0,0,0,0,0,10,0,0,1,0,3,4,0.441860465
118,342,155,1330,218,216,76,26,9,3,4,0,30,644,0,10,5,2,746,962,0,2399,118,2,3,3.023707,1.79457,100,0,0,0,0,0,0,0,0,0,0,1,4,0.441860465
119,0,0,2701,0,0,0,0,0,0,0,0,29,1124,2,11,32,6,1724,676,0,3604,0,2,3,3.078285,1.393558,100,0,0,0,0,0,0,0,0,1,0,0,4,0.441860465
120,1533,0,722,214,1029,413,283,75,49,21,0,2,390,0,18,3,13,275,20,0,721,841,2,3,3.080495,1.618408,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
121,2387,427,308,460,1585,546,429,92,37,24,0,9,320,0,26,12,94,522,36,0,1019,1128,2,3,3.531513,1.481642,100,0,0,0,0,0,8,0,1,0,0,1,4,0.441860465
122,258,0,0,107,237,112,54,5,3,2,0,110,45,14,30,114,456,1900,1678,194,4541,176,2,3,3.470552,1.352833,100,0,0,0,0,0,0,0,1,1,0,0,4,0.441860465
123,90,0,667,0,73,19,13,5,5,2,0,114,278,10,38,26,79,804,405,13,1767,44,2,3,3.57126,1.448306,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
124,1847,0,116,0,1280,451,358,110,44,31,0,0,49,0,0,1,2,89,0,3,144,994,2,3,3.780431,1.576005,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
